yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	5.133374006448836e+00	2.584263297209090e-01	2.018597756092125e+00	-9.419435269409494e-01	-8.606497756024601e-01	6.496160000000000e+02	8.844900000000001e+00
1	1.440206133217979e+00	2.577346849670357e-01	6.693983996252661e+00	-3.126596237345894e+00	-3.318148095843219e+00	6.090972778087488e+02	6.092892350730450e+00
1	1.781487406538932e+00	2.583547283886538e-01	8.557509330957576e+00	-4.169545649443840e+00	-4.145311100445633e+00	1.461175768492147e+03	9.869363051090341e+00
1	8.050265159860892e+00	2.585974263850047e-01	3.129687860953058e+00	-1.516896729786340e+00	-1.413027646205137e+00	9.596150000000000e+02	1.083600000000000e+01
1	3.857693501367270e+00	2.587066014491834e-01	5.437620394986349e+00	-2.613952790023183e+00	-2.608589275448525e+00	3.871950000000000e+02	8.731629999999999e+00
1	4.617346735446699e+00	2.576588667306552e-01	2.524980852153132e+00	-1.013112301406935e+00	-1.249439095477925e+00	6.499410000000000e+02	1.079310000000000e+01
1	1.970176310749558e+00	2.559194496203502e-01	4.490626546534942e+00	-1.974302766546451e+00	-2.200307190368249e+00	3.704920000000000e+02	8.731690000000000e+00
1	8.133807859312536e-02	2.571346655282165e-01	2.793273446210418e+00	-1.123363806035215e+00	-1.389484641880281e+00	1.199210000000000e+03	6.319180000000000e+00
1	1.328265033174664e+00	2.574278166309142e-01	4.680373396866923e+00	-2.229179453456559e+00	-2.155116620850307e+00	4.056670000000000e+02	1.121510000000000e+01
1	4.213156544046794e+00	2.543759598726950e-01	2.063044266754869e+00	-9.107934507291529e-01	-9.046847584163761e-01	5.672680000000000e+02	6.349650000000000e+00
1	6.568615888847430e+00	2.568853056265661e-01	5.793142939084503e+00	-2.730726728667673e+00	-2.771976477263085e+00	7.078770000000000e+02	1.197510000000000e+01
1	7.481489833149626e+00	2.542414888918874e-01	2.116739162680890e+00	-1.057191716949347e+00	-7.942401271428507e-01	5.691576922795962e+02	8.378780849266009e+00
1	1.354054101608014e+00	2.476246330404059e-01	3.215537287756997e+00	-1.331378978403423e+00	-1.475958491028184e+00	6.004390000000000e+02	6.905140000000000e+00
1	2.891605972108318e+00	2.559409190984105e-01	7.212239626510955e+00	-3.356626402593453e+00	-3.593687336263887e+00	3.506560000000000e+02	6.533670000000000e+00
1	5.305314429633870e+00	2.531506225104483e-01	4.636752363208675e+00	-2.187689863117511e+00	-2.171264123808899e+00	7.697820000000000e+02	7.564030000000000e+00
1	6.684282919151196e+00	2.563666545603511e-01	3.067071116898386e+00	-1.343006265497244e+00	-1.411124696160210e+00	7.676020000000000e+02	1.294080000000000e+01
1	2.491856167415194e+00	2.547561434567198e-01	5.411281589121508e+00	-2.468619513809178e+00	-2.538226689564349e+00	5.571580000000000e+02	1.214280000000000e+01
1	4.978917023034953e+00	2.538642770544354e-01	2.804846744702322e+00	-1.274567078055337e+00	-1.347550477189451e+00	9.162340000000000e+01	5.300620000000000e+00
1	1.779248067675791e+00	2.424206274190863e-01	3.930671578689641e+00	-1.759314547237390e+00	-1.747442310737952e+00	8.262070000000000e+02	6.543730000000000e+00
1	1.296083348659340e+00	2.398359191214436e-01	3.567787173766925e+00	-1.683682717325038e+00	-1.499005665834522e+00	1.045770000000000e+03	5.247640000000000e+00
1	2.615279692907794e+00	2.407826736274574e-01	3.022503748550476e+00	-1.245637232588898e+00	-1.427483663284912e+00	3.413910000000000e+02	5.273260000000000e+00
1	6.736553782580932e+00	2.598041775399305e-01	6.109737283359054e+00	-2.830388782224906e+00	-3.117319878736627e+00	1.202522426975031e+03	7.893632160738592e+00
1	5.162220614731670e+00	2.624820470160467e-01	6.844069894719753e+00	-3.462647698849471e+00	-3.267171312877322e+00	1.165377662282611e+03	5.786749966620033e+00
1	6.807921883928930e+00	2.586594077975568e-01	6.847179320022396e+00	-3.224572290651869e+00	-3.376370780438672e+00	1.018549008960544e+03	1.348301287006265e+01
1	3.591149016823336e+00	2.584931790240166e-01	6.444541047195946e+00	-3.133593309955759e+00	-3.030991719632538e+00	1.054500000000000e+03	1.450530000000000e+01
1	5.874334148301240e-01	2.583112130633174e-01	9.254104007424921e+00	-4.374273216660562e+00	-4.626195146728645e+00	2.046720000000000e+03	7.339530000000000e+00
1	6.487810655517627e+00	2.588446355086466e-01	1.722505510078501e+00	-6.582964783834616e-01	-8.643383280761049e-01	1.187440000000000e+03	9.954560000000001e+00
1	5.027403315047037e+00	2.588405111793284e-01	5.904462899560612e+00	-2.696467568025180e+00	-2.987945040231871e+00	1.364099149168216e+03	9.270820998662726e+00
1	7.502272788743426e-01	2.582930003926375e-01	1.083495907637693e+01	-5.334496424843441e+00	-5.245811719013576e+00	2.283320000000000e+03	6.581330000000000e+00
1	7.256989053597997e+00	2.589311215771329e-01	2.825495777711654e+00	-1.182491379889068e+00	-1.450981407782518e+00	1.143800000000000e+03	9.913069999999999e+00
1	1.808370163592601e+00	2.578502469053190e-01	5.890306142042606e+00	-2.669143528290929e+00	-2.941808424895651e+00	1.782910382161213e+03	1.051700490652313e+01
1	1.961655329784750e+00	2.568943483508438e-01	5.627798901760947e+00	-2.498236091045600e+00	-2.786699248758668e+00	2.448686786685661e+03	9.020179760531374e+00
1	4.196394899353697e+00	2.583118863099846e-01	5.504334362766423e+00	-2.661072198470328e+00	-2.600485880423332e+00	1.331715776979719e+03	1.101037252115463e+01
1	5.100253885590476e+00	2.577306421778794e-01	1.199809979109708e+00	3.675416206458520e+00	-3.728506649910042e+00	2.822650000000000e+03	1.554770000000000e+01
1	6.786478057083882e+00	2.556820402390403e-01	5.372833659452963e+00	-2.475370439569585e+00	-2.454211546053820e+00	3.527340000000000e+03	1.076250000000000e+01
1	4.041652082847600e+00	2.577375606476519e-01	7.015964341699387e+00	-3.166364323241258e+00	-3.360446674619407e+00	1.670790000000000e+03	1.448060000000000e+01
1	6.594782976518287e+00	2.582355628990042e-01	7.365822355465204e+00	-3.583137373708883e+00	-3.522850271350985e+00	1.216406285720124e+03	1.251910970628441e+01
1	7.301971236123371e+00	2.582087644053478e-01	2.406083168214567e+00	-1.142247289047501e+00	-1.013572816604848e+00	1.041298132295323e+03	1.485859877706276e+01
1	4.152755278170595e+00	2.581714334809067e-01	6.484436310566678e+00	-3.114908482649160e+00	-3.126667333594073e+00	1.933319069549536e+03	8.426060895038997e+00
1	7.415109261153638e+00	2.579553472100904e-01	1.073764783221862e+00	-4.702141478224466e-01	-3.927199328978365e-01	3.667056852598970e+03	7.485719320723346e+00
1	6.021383173357002e+00	2.634693630128674e-01	7.367161637300008e-01	-2.616031441489175e-01	-3.938541340346435e-01	4.023835601505930e+03	4.940755791601794e+00
1	3.497310695845574e+00	2.575147544900786e-01	8.020140499818069e+00	-3.803730361011552e+00	-3.921921933917823e+00	3.456393757670677e+03	1.140500421199238e+01
1	5.000273124271983e-01	2.559480335213727e-01	6.163783112699810e+00	-2.797658126362051e+00	-3.072794447500263e+00	4.764390000000000e+03	5.535700000000000e+00
